image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as2.ftcdn.net/jpg/03/69/10/75/500_F_369107548_YYh3EgRMoXZBJPpxiDR5oPSPp5Up0w2P.jpg;Details of Milky Way.;Javier Pardina\Stocksy;jpeg;4480x6720;1125x1688;Astrofotografia;1120.99;538.99;49
https://as2.ftcdn.net/jpg/02/72/47/77/500_F_272477775_lV06i86huwh2SzZgsq7Z4BckcbEjhIrI.jpg;Stars and Sky Over Mountains;Casey Mac Photo\Stocksy;jpeg;4912x6140;1233x1541;Astrofotografia;1120.99;538.99;61
https://as1.ftcdn.net/jpg/02/33/22/84/500_F_233228425_WlEaq98PY1o8774thCbEB0G6Ig9r4cgR.jpg;camping truck in remote tajik mountain landscape under starry night sky;Stocksy;jpeg;6720x4480;1688x1125;Astrofotografia;1120.99;538.99;37
https://as1.ftcdn.net/jpg/02/15/27/04/500_F_215270430_zuupI4SFxqSyIduUM3C4fqXYP7yYaMSP.jpg;Night photography in Yosemite National Park;Daniel Inskeep\Stocksy;jpeg;4480x6720;1125x1688;Astrofotografia;1120.99;538.99;47
https://as2.ftcdn.net/jpg/02/61/09/53/500_F_261095348_o1UJPOmUftVFub5T6zgwTSogCWmucPIH.jpg;Milky Way Galaxy;AD Photography\Stocksy;jpeg;3840x5760;1125x1688;Astrofotografia;1120.99;538.99;21
https://as1.ftcdn.net/jpg/01/73/78/88/500_F_173788881_AWarDDHNYz3qaugeiUlkELOfXM3Oghig.jpg;Thors Helmet;Sara Wager\Stocksy;jpeg;2486x3306;1195x1590;Astrofotografia;1120.99;538.99;73
https://as1.ftcdn.net/jpg/01/59/04/22/500_F_159042269_EhNMPIsiyD9b7jTW8pj2ZAHy4Jx2CcZH.jpg;alpine cabin in snowy mountain landscape at night with the milky way above;Leander Nardin\Stocksy;jpeg;3456x5184;1125x1688;Astrofotografia;1120.99;538.99;34
https://as1.ftcdn.net/jpg/02/27/82/48/500_F_227824845_KRFv1LZqRZBlqT1I8EERfumZIkGceO0p.jpg;Beautiful Aurora borealis dancing above Whitehorse in Yukon  Canada;Erika Valkovicova;jpeg;5792x8688;1125x1688;Astrofotografia;2240.99;1120.99;9
https://as2.ftcdn.net/jpg/02/78/61/41/500_F_278614159_FcEqgILPC9c3GOJgYXujkB8DR62nxYN2.jpg;Desert stars;Cavan Images;jpeg;4480x6720;1125x1688;Astrofotografia;1120.99;538.99;82
https://as1.ftcdn.net/jpg/03/15/38/46/500_F_315384674_iSaNQGqBF7kSYeqt3F6m0Zajg3bJOCFx.jpg;Silhouette of a hiker standing on mountain with is arms in the air  Sequoia National Park  California  USA;RooM The Agency;jpeg;5786x3857;1688x1125;Astrofotografia;1120.99;538.99;31
